Date,Region,Warehouse Capacity,Current Stock Level
2024/5/2,Beijing,21365,16538
2024/5/3,Beijing,48540,25488
2024/5/4,Beijing,27187,11764
2024/5/5,Beijing,10467,10116
2024/5/6,Beijing,14352,20614
2024/5/7,Beijing,34652,23437
2024/5/8,Beijing,12449,8291
2024/5/9,Beijing,43474,17819
2024/5/10,Beijing,46812,20486
2024/5/11,Beijing,47964,35968
2024/5/12,Beijing,13888,37182
2024/5/13,Beijing,10403,43504
2024/5/14,Beijing,36087,20728
2024/5/15,Beijing,49534,16851
2024/5/16,Beijing,25965,6464
2024/5/17,Beijing,16733,39879
2024/5/18,Beijing,40161,38622
2024/5/19,Beijing,20692,18483
2024/5/20,Beijing,26674,15048
2024/5/21,Beijing,49235,18183
2024/5/22,Beijing,32900,32926
2024/5/23,Beijing,10729,44448
2024/5/24,Beijing,25543,15520
2024/5/25,Beijing,37309,41964
2024/5/26,Beijing,14034,25537
2024/5/27,Beijing,18427,15914
2024/5/28,Beijing,43857,31702
2024/5/29,Beijing,23762,12412
2024/5/30,Beijing,11990,38069
2024/5/31,Beijing,41044,12048
2024/6/1,Beijing,41660,39956
2024/6/2,Beijing,27666,20532
2024/6/3,Beijing,20467,40781
2024/6/4,Beijing,38498,40849
2024/6/5,Beijing,16902,35522
2024/6/6,Beijing,42552,11559
2024/6/7,Beijing,13132,27457
2024/6/8,Beijing,28005,23480
2024/6/9,Beijing,13133,38684
2024/6/10,Beijing,46709,29394
2024/6/11,Beijing,31440,8208
2024/6/12,Beijing,47893,40895
2024/6/13,Beijing,39005,42164
2024/6/14,Beijing,18277,14393
2024/6/15,Beijing,42109,29581
2024/6/16,Beijing,17555,27239
2024/6/17,Beijing,20291,39871
2024/6/18,Beijing,34924,42854
2024/6/19,Beijing,38519,41429
2024/6/20,Beijing,11557,14318
2024/6/21,Beijing,11537,15124
2024/6/22,Beijing,46212,16253
2024/6/23,Beijing,34860,38622
2024/6/24,Beijing,22569,16807
2024/6/25,Beijing,43624,19099
2024/6/26,Beijing,45142,22127
2024/6/27,Beijing,39369,23947
2024/6/28,Beijing,40433,43695
2024/6/29,Beijing,17820,5328
2024/1/1,Shanghai,32677,11752
2024/1/2,Shanghai,34848,28780
2024/1/3,Shanghai,23188,16350
2024/1/4,Shanghai,40879,31924
2024/1/5,Shanghai,19109,38764
2024/1/6,Shanghai,20627,17222
2024/1/7,Shanghai,16990,39656
2024/1/8,Shanghai,12143,8989
2024/1/9,Shanghai,15819,20373
2024/1/10,Shanghai,43213,30380
2024/1/11,Shanghai,15302,6050
2024/1/12,Shanghai,12937,38641
2024/1/13,Shanghai,25122,31995
2024/1/14,Shanghai,23150,11105
2024/1/15,Shanghai,36358,28542
2024/1/16,Shanghai,38735,27029
2024/1/17,Shanghai,31366,8347
2024/1/18,Shanghai,32225,16489
2024/1/19,Shanghai,13241,21885
2024/1/20,Shanghai,41073,44341
2024/1/21,Shanghai,43231,27306
2024/1/22,Shanghai,42950,24479
2024/1/23,Shanghai,35686,35394
2024/1/24,Shanghai,11408,27009
2024/1/25,Shanghai,10922,5832
2024/1/26,Shanghai,40174,34602
2024/1/27,Shanghai,44844,9536
2024/1/28,Shanghai,38589,38474
2024/1/29,Shanghai,47680,37608
2024/1/30,Shanghai,47376,37559
2024/1/31,Shanghai,44431,32142
2024/2/1,Shanghai,13072,28103
2024/2/2,Shanghai,19698,16083
2024/2/3,Shanghai,22380,9878
2024/2/4,Shanghai,18153,40794
2024/2/5,Shanghai,48619,34853
2024/2/6,Shanghai,19736,9653
2024/2/7,Shanghai,32139,24156
2024/2/8,Shanghai,33778,5983
2024/2/9,Shanghai,39667,36754
2024/2/10,Shanghai,43149,37664
2024/2/11,Shanghai,27754,13867
2024/2/12,Shanghai,13909,18711
2024/2/13,Shanghai,39733,7135
2024/2/14,Shanghai,17026,21493
2024/2/15,Shanghai,37778,41789
2024/2/16,Shanghai,42485,18525
2024/2/17,Shanghai,23211,25787
2024/2/18,Shanghai,21224,10791
2024/2/19,Shanghai,12399,18048
2024/2/20,Shanghai,22097,23905
2024/2/21,Shanghai,25040,13684
2024/2/22,Shanghai,34756,40686
2024/2/23,Shanghai,26787,24662
2024/2/24,Shanghai,39817,10492
2024/2/25,Shanghai,10082,20034
2024/2/26,Shanghai,47110,26030
2024/2/27,Shanghai,15341,25370
2024/2/28,Shanghai,31386,37240
2024/3/1,Shanghai,23626,29419
2024/3/2,Shanghai,35168,33394
2024/3/3,Shanghai,20386,42713
2024/3/4,Shanghai,29259,32465
2024/3/5,Shanghai,40946,33745
2024/3/6,Shanghai,20555,8171
2024/3/7,Shanghai,38258,31840
2024/3/8,Shanghai,44269,16678
2024/3/9,Shanghai,49350,10837
2024/3/10,Shanghai,38208,18027
2024/3/11,Shanghai,36823,10269
2024/3/12,Shanghai,49503,5955
2024/3/13,Shanghai,35658,39900
2024/3/14,Shanghai,10024,43674
2024/3/15,Shanghai,29123,8002
2024/3/16,Shanghai,44320,42400
2024/3/17,Shanghai,24347,23671
2024/3/18,Shanghai,41182,20307
2024/3/19,Shanghai,27942,22949
2024/3/20,Shanghai,34954,8402
2024/3/21,Shanghai,23843,19700
2024/3/22,Shanghai,24013,7518
2024/3/23,Shanghai,42524,36995
2024/3/24,Shanghai,21789,34024
2024/3/25,Shanghai,10807,36447
2024/3/26,Shanghai,31440,39140
2024/3/27,Shanghai,48022,28311
2024/3/28,Shanghai,29482,22890
2024/3/29,Shanghai,18334,44237
2024/3/30,Shanghai,39032,6497
2024/3/31,Shanghai,11417,24925
2024/4/1,Shanghai,35259,42342
2024/4/2,Shanghai,46837,28582
2024/4/3,Shanghai,25589,20173
2024/4/4,Shanghai,26200,43576
2024/4/5,Shanghai,30899,34163
2024/4/6,Shanghai,37577,43994
2024/4/7,Shanghai,32857,20860
2024/4/8,Shanghai,42362,20368
2024/4/9,Shanghai,28776,39669
2024/4/10,Shanghai,11586,42523
2024/4/11,Shanghai,15313,43323
2024/4/12,Shanghai,35224,6526
2024/4/13,Shanghai,28308,27593
2024/4/14,Shanghai,11292,28432
2024/4/15,Shanghai,43227,38857
2024/4/16,Shanghai,29660,13790
2024/4/17,Shanghai,29365,34165
2024/4/18,Shanghai,24884,7552
2024/4/19,Shanghai,37709,42594
2024/4/20,Shanghai,12880,25579
2024/4/21,Shanghai,31410,5083
2024/4/22,Shanghai,46090,11720
2024/4/23,Shanghai,28004,19693
2024/4/24,Shanghai,26825,16309
2024/4/25,Shanghai,12287,29722
2024/4/26,Shanghai,30569,30819
2024/4/27,Shanghai,46475,26911
2024/4/28,Shanghai,38662,43547
2024/4/29,Shanghai,14944,28354
2024/4/30,Shanghai,13561,39922
2024/5/1,Shanghai,25446,28556
2024/5/2,Shanghai,24916,18612
2024/5/3,Shanghai,48800,11997
2024/5/4,Shanghai,36530,10059
2024/5/5,Shanghai,39082,43136
2024/5/6,Shanghai,46363,42935
2024/5/7,Shanghai,47309,28062
2024/5/8,Shanghai,33067,5932
2024/5/9,Shanghai,35379,12738
2024/5/10,Shanghai,33601,12607
2024/5/11,Shanghai,33772,40505
2024/5/12,Shanghai,16001,35808
2024/5/13,Shanghai,21071,24610
2024/5/14,Shanghai,16476,39658
2024/5/15,Shanghai,22372,34755
2024/5/16,Shanghai,46752,23976
2024/5/17,Shanghai,15755,13178
2024/5/18,Shanghai,42963,14282
2024/5/19,Shanghai,18356,19469
2024/5/20,Shanghai,15327,12135
2024/5/21,Shanghai,45866,43303
2024/5/22,Shanghai,29678,31181
2024/5/23,Shanghai,25972,35338
2024/5/24,Shanghai,23344,41433
2024/5/25,Shanghai,25674,37018
2024/5/26,Shanghai,22410,25436
2024/5/27,Shanghai,27697,43352
2024/5/28,Shanghai,49372,9270
2024/5/29,Shanghai,31984,24749
2024/5/30,Shanghai,32931,42177
2024/5/31,Shanghai,30569,36347
2024/6/1,Shanghai,40943,31326
2024/6/2,Shanghai,17191,21186
2024/6/3,Shanghai,48376,11562
2024/6/4,Shanghai,42508,9622
2024/6/5,Shanghai,20483,41968
2024/6/6,Shanghai,28296,36713
2024/6/7,Shanghai,44362,10270
2024/6/8,Shanghai,46967,43436
2024/6/9,Shanghai,27425,35518
2024/6/10,Shanghai,39434,15402
2024/6/11,Shanghai,33342,44414
2024/6/12,Shanghai,31047,36367
2024/6/13,Shanghai,13123,22895
2024/6/14,Shanghai,41542,34481
2024/6/15,Shanghai,28430,40127
2024/6/16,Shanghai,32394,15261
2024/6/17,Shanghai,42141,20920
2024/6/18,Shanghai,37036,17721
2024/6/19,Shanghai,48998,10420
2024/6/20,Shanghai,37865,42992
2024/6/21,Shanghai,23054,35631
2024/6/22,Shanghai,11518,19188
2024/6/23,Shanghai,29577,25364
2024/6/24,Shanghai,16496,10726
2024/6/25,Shanghai,21519,33477
2024/6/26,Shanghai,41391,22513
2024/6/27,Shanghai,33477,19235
2024/6/28,Shanghai,47032,43217
2024/6/29,Shanghai,46660,33096
2024/1/1,Guangdong,20076,10511
2024/1/2,Guangdong,37274,21607
2024/1/3,Guangdong,45449,37451
2024/1/4,Guangdong,46599,25571
2024/1/5,Guangdong,31815,30660
2024/1/6,Guangdong,15380,18749
2024/1/7,Guangdong,39285,13871
2024/1/8,Guangdong,28803,23864
2024/1/9,Guangdong,12735,39863
2024/1/10,Guangdong,28868,38429
2024/1/11,Guangdong,17771,16135
2024/1/12,Guangdong,29885,25164
2024/1/13,Guangdong,19292,43208
2024/1/14,Guangdong,29159,37072
2024/1/15,Guangdong,40617,16671
2024/1/16,Guangdong,42339,7883
2024/1/17,Guangdong,30874,27855
2024/1/18,Guangdong,12690,18947
2024/1/19,Guangdong,21062,44146
2024/1/20,Guangdong,26267,39478
2024/1/21,Guangdong,29314,5609
2024/1/22,Guangdong,31282,17803
2024/1/23,Guangdong,31177,19759
2024/1/24,Guangdong,30249,21782
2024/1/25,Guangdong,42254,40792
2024/1/26,Guangdong,14467,39198
2024/1/27,Guangdong,17308,37048
2024/1/28,Guangdong,19453,18627
2024/1/29,Guangdong,27182,16061
2024/1/30,Guangdong,49805,21282
2024/1/31,Guangdong,39632,7089
2024/2/1,Guangdong,43173,43621
2024/2/2,Guangdong,39365,33442
2024/2/3,Guangdong,22391,32517
2024/2/4,Guangdong,25842,20740
2024/2/5,Guangdong,41335,24650
2024/2/6,Guangdong,27529,24532
2024/2/7,Guangdong,37720,40791
2024/2/8,Guangdong,41327,16347
2024/2/9,Guangdong,49525,19940
2024/2/10,Guangdong,40185,27655
2024/2/11,Guangdong,36487,10999
2024/2/12,Guangdong,12102,20216
2024/2/13,Guangdong,39737,20306
2024/2/14,Guangdong,45295,14703
2024/2/15,Guangdong,48344,21211
2024/2/16,Guangdong,36283,37161
2024/2/17,Guangdong,49429,13736
2024/2/18,Guangdong,33902,34432
2024/2/19,Guangdong,26693,10307
2024/2/20,Guangdong,31916,13471
2024/2/21,Guangdong,36434,26202
2024/2/22,Guangdong,36049,15846
2024/2/23,Guangdong,45226,14080
2024/2/24,Guangdong,41526,13266
2024/2/25,Guangdong,17984,21893
2024/2/26,Guangdong,19473,43471
2024/2/27,Guangdong,29054,7119
2024/2/28,Guangdong,10657,15632
2024/3/1,Guangdong,20185,6435
2024/3/2,Guangdong,23983,44790
2024/3/3,Guangdong,23355,11930
2024/3/4,Guangdong,11627,42267
2024/3/5,Guangdong,49805,35834
2024/3/6,Guangdong,17064,36090
2024/3/7,Guangdong,47016,40832
2024/3/8,Guangdong,42382,31337
2024/3/9,Guangdong,24575,33341
2024/3/10,Guangdong,38251,6515
2024/3/11,Guangdong,49232,27659
2024/3/12,Guangdong,18882,18632
2024/3/13,Guangdong,35130,37493
2024/3/14,Guangdong,49080,7765
2024/3/15,Guangdong,42941,42862
2024/3/16,Guangdong,48380,43850
2024/3/17,Guangdong,23911,29606
2024/3/18,Guangdong,48383,43122
2024/3/19,Guangdong,40484,7285
2024/3/20,Guangdong,12274,12376
2024/3/21,Guangdong,42213,31097
2024/3/22,Guangdong,19160,42412
2024/3/23,Guangdong,47772,9649
2024/3/24,Guangdong,36408,22291
2024/3/25,Guangdong,47700,24094
2024/3/26,Guangdong,25018,18001
2024/3/27,Guangdong,32973,20530
2024/3/28,Guangdong,13891,26029
2024/3/29,Guangdong,16459,25747
2024/3/30,Guangdong,32115,20567
2024/3/31,Guangdong,49534,44070
2024/4/1,Guangdong,38752,27534
2024/4/2,Guangdong,18858,10349
2024/4/3,Guangdong,27392,39773
2024/4/4,Guangdong,30734,21876
2024/4/5,Guangdong,46436,31678
2024/4/6,Guangdong,42804,28929
2024/4/7,Guangdong,13618,5930
2024/4/8,Guangdong,34327,21308
2024/4/9,Guangdong,13398,10701
2024/4/10,Guangdong,44435,33529
2024/4/11,Guangdong,16003,16748
2024/4/12,Guangdong,46021,38464
2024/4/13,Guangdong,16721,6253
2024/4/14,Guangdong,28989,29801
2024/4/15,Guangdong,34645,13512
2024/4/16,Guangdong,12566,42782
2024/4/17,Guangdong,30425,20620
2024/4/18,Guangdong,17740,27933
2024/4/19,Guangdong,38929,37902
2024/4/20,Guangdong,37464,37659
2024/4/21,Guangdong,31627,24045
2024/4/22,Guangdong,31215,26037
2024/4/23,Guangdong,22172,17766
2024/4/24,Guangdong,27950,39136
2024/4/25,Guangdong,26415,20474
2024/4/26,Guangdong,24103,32709
2024/4/27,Guangdong,42238,37542
2024/4/28,Guangdong,18377,41860
2024/4/29,Guangdong,28535,19777
2024/4/30,Guangdong,13617,33397
2024/5/1,Guangdong,49395,26979
2024/5/2,Guangdong,13015,21413
2024/5/3,Guangdong,27326,35672
2024/5/4,Guangdong,42061,40342
2024/5/5,Guangdong,18436,23099
2024/5/6,Guangdong,18288,17304
2024/5/7,Guangdong,44857,11997
2024/5/8,Guangdong,35089,22249
2024/5/9,Guangdong,37556,43296
2024/5/10,Guangdong,17405,22262
2024/5/11,Guangdong,21631,24839
2024/5/12,Guangdong,41088,8123
2024/5/13,Guangdong,21607,12739
2024/5/14,Guangdong,24506,30593
2024/5/15,Guangdong,25521,12597
2024/5/16,Guangdong,48406,24292
2024/5/17,Guangdong,25621,11848
2024/5/18,Guangdong,22136,13870
2024/5/19,Guangdong,17681,19328
2024/5/20,Guangdong,11717,25124
2024/5/21,Guangdong,46820,42736
2024/5/22,Guangdong,18581,32949
2024/5/23,Guangdong,24754,7811
2024/5/24,Guangdong,49124,17762
2024/5/25,Guangdong,28420,17840
2024/5/26,Guangdong,25832,16420
2024/5/27,Guangdong,25224,38408
2024/5/28,Guangdong,18615,39109
2024/5/29,Guangdong,40837,22229
2024/5/30,Guangdong,11249,13335
2024/5/31,Guangdong,27457,28642
2024/6/1,Guangdong,37502,37362
2024/6/2,Guangdong,14509,14700
2024/6/3,Guangdong,44500,13060
2024/6/4,Guangdong,36791,44927
2024/6/5,Guangdong,26171,16401
2024/6/6,Guangdong,13559,19551
2024/6/7,Guangdong,31586,8461
2024/6/8,Guangdong,37869,26291
2024/6/9,Guangdong,16638,37186
2024/6/10,Guangdong,44271,14099
2024/6/11,Guangdong,10878,23624
2024/6/12,Guangdong,12029,37812
2024/6/13,Guangdong,46755,22010
2024/6/14,Guangdong,35913,28228
2024/6/15,Guangdong,32579,39994
2024/6/16,Guangdong,49657,34130
2024/6/17,Guangdong,42874,9075
2024/6/18,Guangdong,15733,19563
2024/6/19,Guangdong,13471,31831
2024/6/20,Guangdong,49400,19241
2024/6/21,Guangdong,16706,10836
2024/6/22,Guangdong,32555,23247
2024/6/23,Guangdong,27864,9751
2024/6/24,Guangdong,49385,22517
2024/6/25,Guangdong,19188,8572
2024/6/26,Guangdong,45914,17307
2024/6/27,Guangdong,35481,14010
2024/6/28,Guangdong,24738,7110
2024/6/29,Guangdong,31078,15730
2024/1/1,Shenzhen,13222,39206
2024/1/2,Shenzhen,47582,37820
2024/1/3,Shenzhen,19517,10280
2024/1/4,Shenzhen,31962,26799
2024/1/5,Shenzhen,19148,8052
2024/1/6,Shenzhen,18085,30057
2024/1/7,Shenzhen,33650,42920
2024/1/8,Shenzhen,13418,5784
2024/1/9,Shenzhen,32943,17229
2024/1/10,Shenzhen,13920,36189
2024/1/11,Shenzhen,49206,17560
2024/1/12,Shenzhen,41207,40594
2024/1/13,Shenzhen,12520,33721
2024/1/14,Shenzhen,43884,35905
2024/1/15,Shenzhen,22522,22425
2024/1/16,Shenzhen,38876,33700
2024/1/17,Shenzhen,35737,6365
2024/1/18,Shenzhen,17132,13913
2024/1/19,Shenzhen,25368,24357
2024/1/20,Shenzhen,25683,16966
2024/1/21,Shenzhen,14954,29604
2024/1/22,Shenzhen,10590,31371
2024/1/23,Shenzhen,27167,18916
2024/1/24,Shenzhen,26162,34534
2024/1/25,Shenzhen,44096,16743
2024/1/26,Shenzhen,18694,21933
2024/1/27,Shenzhen,46168,29787
2024/1/28,Shenzhen,19965,44711
2024/1/29,Shenzhen,37517,14784
2024/1/30,Shenzhen,29740,20765
2024/1/31,Shenzhen,45132,41199
2024/2/1,Shenzhen,22433,6785
2024/2/2,Shenzhen,46748,42048
2024/2/3,Shenzhen,38611,22176
2024/2/4,Shenzhen,24134,19007
2024/2/5,Shenzhen,36221,32177
2024/2/6,Shenzhen,48129,10949
2024/2/7,Shenzhen,36605,13756
2024/2/8,Shenzhen,49362,40415
2024/2/9,Shenzhen,41170,30176
2024/2/10,Shenzhen,19909,6443
2024/2/11,Shenzhen,35488,21016
2024/2/12,Shenzhen,33925,43205
2024/2/13,Shenzhen,28760,6345
2024/2/14,Shenzhen,35800,7561
2024/2/15,Shenzhen,10190,25223
2024/2/16,Shenzhen,40637,20771
2024/2/17,Shenzhen,28356,25555
2024/2/18,Shenzhen,38038,21828
2024/2/19,Shenzhen,33409,16277
2024/2/20,Shenzhen,29368,20283
2024/2/21,Shenzhen,13772,24097
2024/2/22,Shenzhen,25476,20884
2024/2/23,Shenzhen,42460,29256
2024/2/24,Shenzhen,34750,18038
2024/2/25,Shenzhen,46406,16609
2024/2/26,Shenzhen,47250,26160
2024/2/27,Shenzhen,13140,25598
2024/2/28,Shenzhen,30419,20572
2024/3/1,Shenzhen,10763,13586
2024/3/2,Shenzhen,38597,19966
2024/3/3,Shenzhen,49103,25163
2024/3/4,Shenzhen,47232,17930
2024/3/5,Shenzhen,44538,7962
2024/3/6,Shenzhen,18228,27451
2024/3/7,Shenzhen,46515,30270
2024/3/8,Shenzhen,26721,35741
2024/3/9,Shenzhen,30885,39676
2024/3/10,Shenzhen,22729,9099
2024/3/11,Shenzhen,11182,19541
2024/3/12,Shenzhen,17565,6860
2024/3/13,Shenzhen,10493,43123
2024/3/14,Shenzhen,40636,12665
2024/3/15,Shenzhen,33754,18366
2024/3/16,Shenzhen,34759,22466
2024/3/17,Shenzhen,33737,26662
2024/3/18,Shenzhen,15230,11155
2024/3/19,Shenzhen,23390,39917
2024/3/20,Shenzhen,10028,44186
2024/3/21,Shenzhen,14077,29014
2024/3/22,Shenzhen,15994,19876
2024/3/23,Shenzhen,18300,13284
2024/3/24,Shenzhen,42547,20313
2024/3/25,Shenzhen,29875,43904
2024/3/26,Shenzhen,38908,31452
2024/3/27,Shenzhen,37599,23186
2024/3/28,Shenzhen,26375,10149
2024/3/29,Shenzhen,49254,6882
2024/3/30,Shenzhen,28845,20220
2024/3/31,Shenzhen,36180,31156
2024/4/1,Shenzhen,41510,31493
2024/4/2,Shenzhen,13507,42861
2024/4/3,Shenzhen,17950,5742
2024/4/4,Shenzhen,47310,42256
2024/4/5,Shenzhen,18728,6515
2024/4/6,Shenzhen,38798,38992
2024/4/7,Shenzhen,17326,34297
2024/4/8,Shenzhen,34313,19375
2024/4/9,Shenzhen,45342,33399
2024/4/10,Shenzhen,23920,19942
2024/4/11,Shenzhen,11360,29564
2024/4/12,Shenzhen,11696,11845
2024/4/13,Shenzhen,43244,11104
2024/4/14,Shenzhen,47867,14383
2024/4/15,Shenzhen,37414,40566
2024/4/16,Shenzhen,15328,18169
2024/4/17,Shenzhen,38836,13553
2024/4/18,Shenzhen,26064,12349
2024/4/19,Shenzhen,24582,17518
2024/4/20,Shenzhen,25492,25781
2024/4/21,Shenzhen,35231,7616
2024/4/22,Shenzhen,41690,20782
2024/4/23,Shenzhen,14070,39420
2024/4/24,Shenzhen,41365,24663
2024/4/25,Shenzhen,18193,38385
2024/4/26,Shenzhen,30188,15292
2024/4/27,Shenzhen,45494,16990
2024/4/28,Shenzhen,33616,42938
2024/4/29,Shenzhen,22761,22666
2024/4/30,Shenzhen,19842,41069
2024/5/1,Shenzhen,13280,5923
2024/5/2,Shenzhen,13089,42902
2024/5/3,Shenzhen,26904,14791
2024/5/4,Shenzhen,31129,25587
2024/5/5,Shenzhen,28091,20279
2024/5/6,Shenzhen,34758,20712
2024/5/7,Shenzhen,19603,24602
2024/5/8,Shenzhen,41830,34092
2024/5/9,Shenzhen,48022,41349
2024/5/10,Shenzhen,22004,22747
2024/5/11,Shenzhen,13022,9818
2024/5/12,Shenzhen,41651,6470
2024/5/13,Shenzhen,42557,34645
2024/5/14,Shenzhen,14541,29563
2024/5/15,Shenzhen,14882,29244
2024/5/16,Shenzhen,34789,27926
2024/5/17,Shenzhen,10703,41286
2024/5/18,Shenzhen,25672,32241
2024/5/19,Shenzhen,11306,18554
2024/5/20,Shenzhen,36476,10953
2024/5/21,Shenzhen,41159,26621
2024/5/22,Shenzhen,36036,19051
2024/5/23,Shenzhen,44967,37097
2024/5/24,Shenzhen,12567,22242
2024/5/25,Shenzhen,46255,30935
2024/5/26,Shenzhen,49704,43410
2024/5/27,Shenzhen,41318,5986
2024/5/28,Shenzhen,34286,29933
2024/5/29,Shenzhen,34168,41800
2024/5/30,Shenzhen,13745,38128
2024/5/31,Shenzhen,29742,26055
2024/6/1,Shenzhen,28516,31039
2024/6/2,Shenzhen,35225,27735
2024/6/3,Shenzhen,37325,26574
2024/6/4,Shenzhen,15978,40565
2024/6/5,Shenzhen,13803,39322
2024/6/6,Shenzhen,43817,40527
2024/6/7,Shenzhen,13158,29774
2024/6/8,Shenzhen,27803,18999
2024/6/9,Shenzhen,33697,5776
2024/6/10,Shenzhen,37770,15019
2024/6/11,Shenzhen,10855,18050
2024/6/12,Shenzhen,49312,18158
2024/6/13,Shenzhen,43225,31824
2024/6/14,Shenzhen,41608,43809
2024/6/15,Shenzhen,16719,39148
2024/6/16,Shenzhen,42597,23070
2024/6/17,Shenzhen,34180,36206
2024/6/18,Shenzhen,31257,28331
2024/6/19,Shenzhen,35311,22267
2024/6/20,Shenzhen,18807,19477
2024/6/21,Shenzhen,45430,9180
2024/6/22,Shenzhen,23113,26798
2024/6/23,Shenzhen,11696,27847
2024/6/24,Shenzhen,12625,14681
2024/6/25,Shenzhen,12245,7131
2024/6/26,Shenzhen,12397,15248
2024/6/27,Shenzhen,45497,43743
2024/6/28,Shenzhen,12543,6735
2024/6/29,Shenzhen,15833,30751
2024/1/1,Zhejiang,23936,11453
2024/1/2,Zhejiang,40330,17769
2024/1/3,Zhejiang,11965,29068
2024/1/4,Zhejiang,43370,34831
2024/1/5,Zhejiang,24746,13572
2024/1/6,Zhejiang,24238,19722
2024/1/7,Zhejiang,28583,27643
2024/1/8,Zhejiang,42113,22319
2024/1/9,Zhejiang,45900,38292
2024/1/10,Zhejiang,42388,13508
2024/1/11,Zhejiang,45618,34938
2024/1/12,Zhejiang,20834,7124
2024/1/13,Zhejiang,48293,31486
