Date,Region,Active Shipments,Completed Shipments,Returned Shipments
2024/1/7,Hunan,53,70,13
2024/1/7,Jiangsu,104,210,45
2024/1/7,Jilin,89,183,90
2024/1/7,Liaoning,58,87,9
2024/1/7,Shaanxi,81,140,52
2024/1/7,Shandong,38,79,23
2024/1/7,Shanghai,41,83,1
2024/1/7,Shenzhen,43,80,28
2024/1/7,Sichuan,117,261,40
2024/1/7,Yunnan,20,58,19
2024/1/7,Zhejiang,98,223,58
2024/1/8,Anhui,158,221,38
2024/1/8,Beijing,94,247,128
2024/1/8,Chongqing,30,53,16
2024/1/8,Fujian,78,139,5
2024/1/8,Guangdong,86,134,14
2024/1/8,Guangxi,99,183,-14
2024/1/8,Heilongjiang,102,180,23
2024/1/8,Henan,88,226,48
2024/1/8,Hubei,38,84,32
2024/1/8,Hunan,78,253,62
2024/1/8,Jiangsu,130,296,69
2024/1/8,Jilin,127,319,48
2024/1/8,Liaoning,71,194,27
2024/1/8,Shaanxi,43,88,13
2024/1/8,Shandong,27,46,14
2024/1/8,Shanghai,103,194,-8
2024/1/8,Shenzhen,27,50,-2
2024/1/8,Sichuan,66,198,67
2024/1/8,Yunnan,119,208,2
2024/1/8,Zhejiang,180,305,3
2024/1/9,Anhui,17,36,0
2024/1/9,Beijing,41,88,24
2024/1/9,Chongqing,23,48,20
2024/1/9,Fujian,125,323,36
2024/1/9,Guangdong,83,267,47
2024/1/9,Guangxi,133,325,18
2024/1/9,Heilongjiang,121,203,-1
2024/1/9,Henan,81,150,62
2024/1/9,Hubei,168,299,-32
2024/1/9,Hunan,48,125,52
2024/1/9,Jiangsu,64,156,18
2024/1/9,Jilin,48,102,29
2024/1/9,Liaoning,83,181,-3
2024/1/9,Shaanxi,50,81,7
2024/1/9,Shandong,62,108,42
2024/1/9,Shanghai,35,70,23
2024/1/9,Shenzhen,47,81,0
2024/1/9,Sichuan,30,83,8
2024/1/9,Yunnan,53,104,24
2024/1/9,Zhejiang,27,73,31
2024/1/10,Anhui,134,255,21
2024/1/10,Beijing,84,146,9
2024/1/10,Chongqing,118,212,-24
2024/1/10,Fujian,42,81,0
2024/1/10,Guangdong,148,248,18
2024/1/10,Guangxi,98,171,-5
2024/1/10,Heilongjiang,140,256,86
2024/1/10,Henan,142,221,49
2024/1/10,Hubei,53,171,34
2024/1/10,Hunan,56,169,47
2024/1/10,Jiangsu,85,185,97
2024/1/10,Jilin,102,176,71
2024/1/10,Liaoning,40,93,23
2024/1/10,Shaanxi,123,232,-15
2024/1/10,Shandong,20,53,22
2024/1/10,Shanghai,35,92,7
2024/1/10,Shenzhen,33,66,30
2024/1/10,Sichuan,120,266,95
2024/1/10,Yunnan,62,102,30
2024/1/10,Zhejiang,122,275,17
2024/1/11,Anhui,164,235,70
2024/1/11,Beijing,86,171,35
2024/1/11,Chongqing,91,138,3
2024/1/11,Fujian,75,200,20
2024/1/11,Guangdong,111,172,55
2024/1/11,Guangxi,25,73,18
2024/1/11,Heilongjiang,113,151,37
2024/1/11,Henan,104,206,26
2024/1/11,Hubei,23,60,18
2024/1/11,Hunan,22,45,4
2024/1/11,Jiangsu,100,285,106
2024/1/11,Jilin,44,102,44
2024/1/11,Liaoning,154,258,-4
2024/1/11,Shaanxi,13,38,14
2024/1/11,Shandong,90,195,79
2024/1/11,Shanghai,73,139,67
2024/1/11,Shenzhen,77,134,13
2024/1/11,Sichuan,135,267,68
2024/1/11,Yunnan,92,269,53
2024/1/11,Zhejiang,128,180,41
2024/1/12,Anhui,156,323,9
2024/1/12,Beijing,157,238,81
2024/1/12,Chongqing,152,223,25
2024/1/12,Fujian,85,175,61
2024/1/12,Guangdong,52,111,22
2024/1/12,Guangxi,78,131,8
2024/1/12,Heilongjiang,45,98,11
2024/1/12,Henan,53,118,38
2024/1/12,Hubei,92,216,43
2024/1/12,Hunan,97,227,61
2024/1/12,Jiangsu,119,246,89
2024/1/12,Jilin,164,232,59
2024/1/12,Liaoning,72,186,66
2024/1/12,Shaanxi,29,44,7
2024/1/12,Shandong,103,155,35
2024/1/12,Shanghai,102,164,3
2024/1/12,Shenzhen,178,303,-4
2024/1/12,Sichuan,170,317,-9
2024/1/12,Yunnan,101,178,-10
2024/1/12,Zhejiang,132,256,11
2024/1/13,Anhui,29,45,6
2024/1/13,Beijing,60,116,8
2024/1/13,Chongqing,116,221,24
2024/1/13,Fujian,51,80,14
2024/1/13,Guangdong,79,186,98
2024/1/13,Guangxi,91,275,45
2024/1/13,Heilongjiang,105,209,-12
2024/1/13,Henan,120,222,86
2024/1/13,Hubei,71,128,-14
2024/1/13,Hunan,32,80,16
2024/1/13,Jiangsu,122,248,59
2024/1/13,Jilin,118,325,55
2024/1/13,Liaoning,163,249,5
2024/1/13,Shaanxi,26,46,-1
2024/1/13,Shandong,68,112,27
2024/1/13,Shanghai,83,122,38
2024/1/13,Shenzhen,40,65,16
2024/1/13,Sichuan,97,259,41
2024/1/13,Yunnan,103,149,16
2024/1/13,Zhejiang,95,136,34
2024/1/14,Anhui,34,87,43
2024/1/14,Beijing,73,213,55
2024/1/14,Chongqing,106,239,86
2024/1/14,Fujian,118,208,-2
2024/1/14,Guangdong,80,122,12
2024/1/14,Guangxi,130,261,28
2024/1/14,Heilongjiang,94,174,-4
2024/1/14,Henan,29,48,0
2024/1/14,Hubei,38,91,29
2024/1/14,Hunan,45,104,32
2024/1/14,Jiangsu,36,58,14
2024/1/14,Jilin,125,276,97
2024/1/14,Liaoning,70,157,50
2024/1/14,Shaanxi,102,150,13
2024/1/14,Shandong,34,82,36
2024/1/14,Shanghai,143,245,4
2024/1/14,Shenzhen,152,250,71
2024/1/14,Sichuan,114,241,95
2024/1/14,Yunnan,28,80,20
2024/1/14,Zhejiang,100,278,119
2024/1/15,Anhui,145,299,20
2024/1/15,Beijing,45,91,7
2024/1/15,Chongqing,30,60,23
2024/1/15,Fujian,148,286,34
2024/1/15,Guangdong,24,69,19
2024/1/15,Guangxi,82,169,18
2024/1/15,Heilongjiang,32,71,7
2024/1/15,Henan,145,274,23
2024/1/15,Hubei,106,274,102
2024/1/15,Hunan,45,117,25
2024/1/15,Jiangsu,49,152,30
2024/1/15,Jilin,169,321,-6
2024/1/15,Liaoning,103,319,55
2024/1/15,Shaanxi,134,284,76
2024/1/15,Shandong,95,189,-4
2024/1/15,Shanghai,108,181,19
2024/1/15,Shenzhen,115,275,23
2024/1/15,Sichuan,63,89,22
2024/1/15,Yunnan,97,214,111
2024/1/15,Zhejiang,91,233,22
2024/1/16,Anhui,82,162,29
2024/1/16,Beijing,94,209,50
2024/1/16,Chongqing,115,212,14
2024/1/16,Fujian,123,246,74
2024/1/16,Guangdong,112,252,59
2024/1/16,Guangxi,151,259,-26
2024/1/16,Heilongjiang,140,272,65
2024/1/16,Henan,149,266,10
2024/1/16,Hubei,87,199,65
2024/1/16,Hunan,57,165,34
2024/1/16,Jiangsu,175,287,22
2024/1/16,Jilin,116,232,54
2024/1/16,Liaoning,161,233,12
2024/1/16,Shaanxi,75,147,5
2024/1/16,Shandong,47,82,1
2024/1/16,Shanghai,133,257,24
2024/1/16,Shenzhen,66,201,48
2024/1/16,Sichuan,79,134,18
2024/1/16,Yunnan,88,195,90
2024/1/16,Zhejiang,118,312,37
2024/1/17,Anhui,52,120,22
2024/1/17,Beijing,18,35,15
2024/1/17,Chongqing,24,46,2
2024/1/17,Fujian,64,115,31
2024/1/17,Guangdong,46,83,24
2024/1/17,Guangxi,13,33,11
2024/1/17,Heilongjiang,82,149,7
2024/1/17,Henan,195,341,-42
2024/1/17,Hubei,93,217,8
2024/1/17,Hunan,118,219,25
2024/1/17,Jiangsu,129,227,75
2024/1/17,Jilin,53,89,-3
2024/1/17,Liaoning,89,176,39
2024/1/17,Shaanxi,174,254,64
2024/1/17,Shandong,40,65,-2
2024/1/17,Shanghai,121,263,27
2024/1/17,Shenzhen,59,143,15
2024/1/17,Sichuan,39,57,16
2024/1/17,Yunnan,44,92,3
2024/1/17,Zhejiang,24,57,9
2024/1/18,Anhui,124,219,-11
2024/1/18,Beijing,162,292,42
2024/1/18,Chongqing,87,157,24
2024/1/18,Fujian,63,143,38
2024/1/18,Guangdong,158,297,-19
2024/1/18,Guangxi,49,100,19
2024/1/18,Heilongjiang,138,231,-18
2024/1/18,Henan,115,336,31
2024/1/18,Hubei,118,208,54
2024/1/18,Hunan,119,160,23
2024/1/18,Jiangsu,32,79,5
2024/1/18,Jilin,97,309,48
2024/1/18,Liaoning,126,284,34
2024/1/18,Shaanxi,142,193,37
2024/1/18,Shandong,187,307,-5
2024/1/18,Shanghai,89,176,70
2024/1/18,Shenzhen,175,265,21
2024/1/18,Sichuan,92,291,47
2024/1/18,Yunnan,87,142,28
2024/1/18,Zhejiang,33,82,28
2024/1/19,Anhui,39,75,-4
2024/1/19,Beijing,139,243,-20
2024/1/19,Chongqing,154,302,29
2024/1/19,Fujian,149,224,28
2024/1/19,Guangdong,35,65,-5
2024/1/19,Guangxi,109,238,43
2024/1/19,Heilongjiang,92,207,-1
2024/1/19,Henan,63,173,22
2024/1/19,Hubei,102,244,29
2024/1/19,Hunan,122,245,34
2024/1/19,Jiangsu,63,175,54
2024/1/19,Jilin,84,154,-3
2024/1/19,Liaoning,22,36,6
2024/1/19,Shaanxi,61,124,34
2024/1/19,Shandong,84,192,8
2024/1/19,Shanghai,110,227,17
2024/1/19,Shenzhen,54,85,23
2024/1/19,Sichuan,49,83,2
2024/1/19,Yunnan,127,177,18
2024/1/19,Zhejiang,100,281,26
2024/1/20,Anhui,61,107,24
2024/1/20,Beijing,35,59,24
2024/1/20,Chongqing,100,244,88
2024/1/20,Fujian,77,104,19
2024/1/20,Guangdong,21,51,5
2024/1/20,Guangxi,50,103,-1
2024/1/20,Heilongjiang,143,248,-21
2024/1/20,Henan,101,222,22
2024/1/20,Hubei,95,159,-13
2024/1/20,Hunan,29,81,14
2024/1/20,Jiangsu,86,250,25
2024/1/20,Jilin,30,41,9
2024/1/20,Liaoning,86,152,61
2024/1/20,Shaanxi,62,93,7
2024/1/20,Shandong,106,294,41
2024/1/20,Shanghai,61,122,10
2024/1/20,Shenzhen,134,300,17
2024/1/20,Sichuan,81,151,21
2024/1/20,Yunnan,101,272,40
2024/1/20,Zhejiang,122,266,89
2024/1/21,Anhui,148,205,30
2024/1/21,Beijing,26,58,21
2024/1/21,Chongqing,121,183,8
2024/1/21,Fujian,38,88,6
2024/1/21,Guangdong,78,114,33
2024/1/21,Guangxi,32,57,4
2024/1/21,Heilongjiang,80,143,25
2024/1/21,Henan,63,211,41
2024/1/21,Hubei,19,34,6
2024/1/21,Hunan,75,178,3
2024/1/21,Jiangsu,46,96,43
2024/1/21,Jilin,46,69,23
2024/1/21,Liaoning,99,227,100
2024/1/21,Shaanxi,88,254,83
2024/1/21,Shandong,164,244,14
2024/1/21,Shanghai,183,296,13
2024/1/21,Shenzhen,79,137,49
2024/1/21,Sichuan,123,303,60
2024/1/21,Yunnan,113,296,89
2024/1/21,Zhejiang,116,217,77
2024/1/22,Anhui,107,264,122
2024/1/22,Beijing,64,158,45
2024/1/22,Chongqing,16,33,9
2024/1/22,Fujian,160,238,61
2024/1/22,Guangdong,136,253,30
2024/1/22,Guangxi,59,117,10
2024/1/22,Heilongjiang,134,224,46
2024/1/22,Henan,46,117,17
2024/1/22,Hubei,63,87,22
2024/1/22,Hunan,143,298,54
2024/1/22,Jiangsu,101,188,70
2024/1/22,Jilin,147,255,44
2024/1/22,Liaoning,110,222,98
2024/1/22,Shaanxi,108,166,35
2024/1/22,Shandong,156,242,14
2024/1/22,Shanghai,34,61,1
2024/1/22,Shenzhen,133,208,-7
2024/1/22,Sichuan,148,279,54
2024/1/22,Yunnan,152,237,4
2024/1/22,Zhejiang,22,31,5
2024/1/23,Anhui,50,66,13
2024/1/23,Beijing,86,231,103
2024/1/23,Chongqing,41,125,23
2024/1/23,Fujian,105,204,-5
2024/1/23,Guangdong,91,142,39
2024/1/23,Guangxi,120,208,-12
2024/1/23,Heilongjiang,94,298,73
2024/1/23,Henan,78,154,66
2024/1/23,Hubei,82,161,60
2024/1/23,Hunan,22,57,24
2024/1/23,Jiangsu,123,192,56
2024/1/23,Jilin,49,95,43
2024/1/23,Liaoning,129,216,5
2024/1/23,Shaanxi,59,139,73
2024/1/23,Shandong,74,138,30
2024/1/23,Shanghai,88,211,43
2024/1/23,Shenzhen,61,177,61
2024/1/23,Sichuan,25,52,3
2024/1/23,Yunnan,145,216,53
2024/1/23,Zhejiang,146,345,6
2024/1/24,Anhui,93,226,82
2024/1/24,Beijing,63,190,37
2024/1/24,Chongqing,71,204,60
2024/1/24,Fujian,61,121,25
2024/1/24,Guangdong,23,67,17
2024/1/24,Guangxi,53,140,9
2024/1/24,Heilongjiang,70,233,37
2024/1/24,Henan,73,98,21
2024/1/24,Hubei,70,160,88
2024/1/24,Hunan,68,185,23
2024/1/24,Jiangsu,89,305,48
2024/1/24,Jilin,103,220,81
2024/1/24,Liaoning,102,197,-1
2024/1/24,Shaanxi,76,139,41
2024/1/24,Shandong,73,177,24
2024/1/24,Shanghai,42,87,38
2024/1/24,Shenzhen,80,137,6
2024/1/24,Sichuan,101,237,68
2024/1/24,Yunnan,114,219,23
2024/1/24,Zhejiang,98,261,81
2024/1/25,Anhui,23,32,6
2024/1/25,Beijing,46,117,34
2024/1/25,Chongqing,89,148,-2
2024/1/25,Fujian,118,205,60
2024/1/25,Guangdong,45,71,-1
2024/1/25,Guangxi,128,263,22
2024/1/25,Heilongjiang,34,50,14
2024/1/25,Henan,116,253,103
2024/1/25,Hubei,115,182,-7
2024/1/25,Hunan,188,250,44
2024/1/25,Jiangsu,154,236,34
2024/1/25,Jilin,131,267,97
2024/1/25,Liaoning,79,190,44
2024/1/25,Shaanxi,159,312,-14
2024/1/25,Shandong,59,165,39
2024/1/25,Shanghai,94,153,22
2024/1/25,Shenzhen,78,150,25
2024/1/25,Sichuan,56,146,53
2024/1/25,Yunnan,29,58,-3
2024/1/25,Zhejiang,26,47,-5
2024/1/26,Anhui,82,176,70
2024/1/26,Beijing,62,192,44
2024/1/26,Chongqing,146,256,-33
2024/1/26,Fujian,108,344,40
2024/1/26,Guangdong,107,307,67
2024/1/26,Guangxi,32,59,14
2024/1/26,Heilongjiang,99,214,110
2024/1/26,Henan,92,277,65
2024/1/26,Hubei,67,154,30
2024/1/26,Hunan,180,279,-5
2024/1/26,Jiangsu,146,247,-21
2024/1/26,Jilin,110,195,38
2024/1/26,Liaoning,41,68,10
2024/1/26,Shaanxi,25,60,6
2024/1/26,Shandong,30,68,11
2024/1/26,Shanghai,119,287,80
2024/1/26,Shenzhen,63,165,75
2024/1/26,Sichuan,109,146,36
2024/1/26,Yunnan,125,236,105
2024/1/26,Zhejiang,89,193,43
2024/1/27,Anhui,122,259,42
2024/1/27,Beijing,81,215,81
2024/1/27,Chongqing,106,193,55
2024/1/27,Fujian,68,102,20
2024/1/27,Guangdong,107,194,16
2024/1/27,Guangxi,24,81,14
2024/1/27,Heilongjiang,104,260,32
2024/1/27,Henan,25,48,13
2024/1/27,Hubei,111,212,81
2024/1/27,Hunan,67,106,25
2024/1/27,Jiangsu,123,195,52
2024/1/27,Jilin,152,246,36
2024/1/27,Liaoning,93,266,24
2024/1/27,Shaanxi,64,98,29
2024/1/27,Shandong,39,83,17
2024/1/27,Shanghai,76,199,102
2024/1/27,Shenzhen,166,233,44
2024/1/27,Sichuan,26,58,22
2024/1/27,Yunnan,129,255,44
2024/1/27,Zhejiang,100,303,72
2024/1/28,Anhui,50,103,23
2024/1/28,Beijing,68,120,48
2024/1/28,Chongqing,18,40,9
2024/1/28,Fujian,113,218,8
2024/1/28,Guangdong,28,39,4
2024/1/28,Guangxi,70,195,77
2024/1/28,Heilongjiang,35,64,8
2024/1/28,Henan,32,75,29
2024/1/28,Hubei,19,55,13
2024/1/28,Hunan,148,232,46
2024/1/28,Jiangsu,100,280,36
2024/1/28,Jilin,28,51,-3
2024/1/28,Liaoning,113,224,48
2024/1/28,Shaanxi,102,309,57
2024/1/28,Shandong,24,37,6
2024/1/28,Shanghai,133,273,38
2024/1/28,Shenzhen,101,282,38
2024/1/28,Sichuan,66,115,27
2024/1/28,Yunnan,99,232,124
2024/1/28,Zhejiang,88,153,26
2024/1/29,Anhui,61,146,69
2024/1/29,Beijing,136,259,-8
2024/1/29,Chongqing,165,256,64
2024/1/29,Fujian,48,135,22
2024/1/29,Guangdong,37,71,31
2024/1/29,Guangxi,90,178,58
2024/1/29,Heilongjiang,68,166,5
2024/1/29,Henan,100,280,23
2024/1/29,Hubei,117,257,108
2024/1/29,Hunan,64,128,60
2024/1/29,Jiangsu,161,290,9
2024/1/29,Jilin,173,303,-32
2024/1/29,Liaoning,161,336,-4
2024/1/29,Shaanxi,83,174,69
2024/1/29,Shandong,113,294,74
2024/1/29,Shanghai,133,232,-6
2024/1/29,Shenzhen,104,282,95
2024/1/29,Sichuan,64,95,5
2024/1/29,Yunnan,125,177,14
2024/1/29,Zhejiang,31,87,33
2024/1/30,Anhui,115,220,9
2024/1/30,Beijing,166,236,63
2024/1/30,Chongqing,173,286,-21
2024/1/30,Fujian,62,142,10
2024/1/30,Guangdong,82,132,-5
2024/1/30,Guangxi,59,137,24
2024/1/30,Heilongjiang,167,277,18
2024/1/30,Henan,138,191,49
2024/1/30,Hubei,117,201,-15
2024/1/30,Hunan,88,227,62
2024/1/30,Jiangsu,75,134,29
2024/1/30,Jilin,48,125,15
2024/1/30,Liaoning,55,112,20
2024/1/30,Shaanxi,48,93,27
2024/1/30,Shandong,119,296,78
2024/1/30,Shanghai,108,249,19
2024/1/30,Shenzhen,118,266,23
2024/1/30,Sichuan,127,234,62
2024/1/30,Yunnan,79,112,16
2024/1/30,Zhejiang,91,160,37
2024/1/31,Anhui,154,330,-2
2024/1/31,Beijing,23,59,22
2024/1/31,Chongqing,23,42,-2
2024/1/31,Fujian,43,75,-8
2024/1/31,Guangdong,29,65,34
2024/1/31,Guangxi,92,142,46
2024/1/31,Heilongjiang,118,295,64
2024/1/31,Henan,90,151,54
2024/1/31,Hubei,71,147,20
2024/1/31,Hunan,165,311,-27
2024/1/31,Jiangsu,126,242,27
2024/1/31,Jilin,119,253,24
2024/1/31,Liaoning,157,309,4
2024/1/31,Shaanxi,88,156,27
2024/1/31,Shandong,159,240,73
2024/1/31,Shanghai,86,173,6
2024/1/31,Shenzhen,110,244,93
2024/1/31,Sichuan,108,210,30
2024/1/31,Yunnan,69,157,26
2024/1/31,Zhejiang,65,161,24
2024/2/1,Anhui,61,181,27
2024/2/1,Beijing,108,300,58
2024/2/1,Chongqing,94,221,26
2024/2/1,Fujian,143,198,27
2024/2/1,Guangdong,54,98,16
2024/2/1,Guangxi,112,231,16
2024/2/1,Heilongjiang,75,226,46
2024/2/1,Henan,126,301,26
2024/2/1,Hubei,68,159,79
2024/2/1,Hunan,60,136,10
2024/2/1,Jiangsu,135,289,54
2024/2/1,Jilin,75,146,17
2024/2/1,Liaoning,18,43,8
2024/2/1,Shaanxi,118,177,12
2024/2/1,Shandong,36,58,9
2024/2/1,Shanghai,52,155,47
2024/2/1,Shenzhen,119,207,-17
2024/2/1,Sichuan,18,50,18
2024/2/1,Yunnan,105,198,15
2024/2/1,Zhejiang,133,267,79
2024/2/2,Anhui,130,223,-20
2024/2/2,Beijing,91,239,77
2024/2/2,Chongqing,44,123,52
2024/2/2,Fujian,102,253,50
2024/2/2,Guangdong,74,161,19
2024/2/2,Guangxi,133,292,45
2024/2/2,Heilongjiang,149,200,33
2024/2/2,Henan,16,40,16
2024/2/2,Hubei,139,249,64
2024/2/2,Hunan,57,93,-6
2024/2/2,Jiangsu,73,186,97
2024/2/2,Jilin,75,235,61
2024/2/2,Liaoning,18,44,11
2024/2/2,Shaanxi,44,108,59
2024/2/2,Shandong,72,130,2
2024/2/2,Shanghai,96,303,60
2024/2/2,Shenzhen,128,223,24
2024/2/2,Sichuan,146,190,35
2024/2/2,Yunnan,102,311,40
2024/2/2,Zhejiang,153,227,5
2024/2/3,Anhui,137,212,57
2024/2/3,Beijing,45,89,23
2024/2/3,Chongqing,129,251,-1
2024/2/3,Fujian,109,247,90
2024/2/3,Guangdong,119,214,77
2024/2/3,Guangxi,29,83,8
2024/2/3,Heilongjiang,56,85,8
2024/2/3,Henan,78,113,36
2024/2/3,Hubei,139,224,1
2024/2/3,Hunan,29,63,4
2024/2/3,Jiangsu,118,265,47
2024/2/3,Jilin,16,40,25
2024/2/3,Liaoning,67,185,24
2024/2/3,Shaanxi,133,202,14
2024/2/3,Shandong,91,143,7
2024/2/3,Shanghai,40,94,35
2024/2/3,Shenzhen,50,76,8
2024/2/3,Sichuan,53,128,2
2024/2/3,Yunnan,29,72,10
2024/2/3,Zhejiang,26,46,17
2024/2/4,Anhui,50,135,33
2024/2/4,Beijing,89,246,80
2024/2/4,Chongqing,76,223,46
2024/2/4,Fujian,46,72,4
2024/2/4,Guangdong,81,245,41
2024/2/4,Guangxi,166,311,-29
2024/2/4,Heilongjiang,68,171,37
2024/2/4,Henan,86,183,11
2024/2/4,Hubei,110,178,55
2024/2/4,Hunan,109,184,-11
2024/2/4,Jiangsu,108,247,73
2024/2/4,Jilin,18,35,4
2024/2/4,Liaoning,46,130,41
2024/2/4,Shaanxi,122,246,30
2024/2/4,Shandong,44,100,34
2024/2/4,Shanghai,48,74,15
2024/2/4,Shenzhen,181,251,33
2024/2/4,Sichuan,52,167,29
2024/2/4,Yunnan,57,84,13
2024/2/4,Zhejiang,112,219,14
2024/2/5,Anhui,67,174,49
2024/2/5,Beijing,109,316,35
2024/2/5,Chongqing,16,33,6
2024/2/5,Fujian,185,265,43
2024/2/5,Guangdong,19,41,12
2024/2/5,Guangxi,35,79,2
2024/2/5,Heilongjiang,11,32,13
2024/2/5,Henan,27,69,21
2024/2/5,Hubei,145,265,-4
2024/2/5,Hunan,37,115,28
2024/2/5,Jiangsu,58,119,12
2024/2/5,Jilin,31,55,3
2024/2/5,Liaoning,94,225,44
2024/2/5,Shaanxi,42,91,5
2024/2/5,Shandong,77,168,48
2024/2/5,Shanghai,151,279,5
2024/2/5,Shenzhen,32,72,6
2024/2/5,Sichuan,62,111,24
2024/2/5,Yunnan,42,99,16
2024/2/5,Zhejiang,58,93,20
2024/2/6,Anhui,62,113,-10
2024/2/6,Beijing,168,287,-11
2024/2/6,Chongqing,107,170,3
2024/2/6,Fujian,89,213,66
2024/2/6,Guangdong,91,178,34
2024/2/6,Guangxi,143,265,-7
2024/2/6,Heilongjiang,48,128,12
2024/2/6,Henan,28,52,-1
2024/2/6,Hubei,46,92,5
2024/2/6,Hunan,141,211,46
2024/2/6,Jiangsu,155,221,47
2024/2/6,Jilin,72,134,35
2024/2/6,Liaoning,18,33,1
2024/2/6,Shaanxi,127,339,33
2024/2/6,Shandong,73,108,14
