Date,Region,Air Shipment Cost,Sea Shipment Cost,Rail Shipment Cost
2025/1/5,Shanghai,4242,7277,4207
2025/1/6,Shanghai,1365,6787,6430
2025/1/7,Shanghai,7878,7712,6158
2025/1/8,Shanghai,2749,5871,4749
2025/1/9,Shanghai,4146,7208,5977
2025/1/10,Shanghai,6604,4494,3111
2025/1/11,Shanghai,2970,3854,4000
2025/1/12,Shanghai,3958,3902,5113
2025/1/13,Shanghai,4013,5221,8810
2025/1/14,Shanghai,7332,6860,1966
2025/1/15,Shanghai,6342,6510,7022
2025/1/16,Shanghai,6415,6700,6737
2025/1/17,Shanghai,5589,6866,3924
2025/1/18,Shanghai,1116,5324,2292
2025/1/19,Shanghai,1472,3417,5321
2025/1/20,Shanghai,1145,2010,7671
2025/1/21,Shanghai,3066,3638,7179
2025/1/22,Shanghai,6843,6884,8166
2025/1/23,Shanghai,5549,9499,5546
2025/1/24,Shanghai,5306,4323,5750
2025/1/25,Shanghai,7040,2159,7699
2025/1/26,Shanghai,6504,6853,5954
2025/1/27,Shanghai,1607,4603,7108
2025/1/28,Shanghai,7509,3939,3206
2025/1/29,Shanghai,3331,7033,7432
2025/1/30,Shanghai,2774,4202,2716
2025/1/31,Shanghai,5673,7207,6406
2025/2/1,Shanghai,2998,7894,3135
2025/2/2,Shanghai,1964,4258,8695
2025/2/3,Shanghai,5676,9154,3658
2025/2/4,Shanghai,4785,8422,3489
2025/2/5,Shanghai,3096,8629,5078
2025/2/6,Shanghai,3533,2895,7200
2025/2/7,Shanghai,1279,9058,1799
2025/2/8,Shanghai,1294,6847,6459
2025/2/9,Shanghai,3835,3621,6154
2025/2/10,Shanghai,2875,5739,7384
2025/2/11,Shanghai,7923,8162,5249
2025/2/12,Shanghai,6032,7264,8204
2025/2/13,Shanghai,2715,9186,6294
2025/2/14,Shanghai,1133,9861,3132
2025/2/15,Shanghai,3759,2757,3202
2025/2/16,Shanghai,7814,7144,5861
2025/2/17,Shanghai,6972,2068,5695
2025/2/18,Shanghai,3115,8062,8604
2025/2/19,Shanghai,6909,8762,4576
2025/2/20,Shanghai,1556,4975,4757
2025/2/21,Shanghai,3266,5882,3915
2025/2/22,Shanghai,2954,8111,6166
2025/2/23,Shanghai,3649,6523,5596
2025/2/24,Shanghai,1270,4945,1535
2025/2/25,Shanghai,5161,9489,8603
2025/2/26,Shanghai,7313,5816,2194
2025/2/27,Shanghai,5702,3424,4904
2025/2/28,Shanghai,1971,7676,8201
2025/2/29,Shanghai,1615,6271,8398
2024/9/1,Guangdong,5194,3412,4817
2024/9/2,Guangdong,7733,5754,3224
2024/9/3,Guangdong,4823,2331,5833
2024/9/4,Guangdong,1302,5457,8305
2024/9/5,Guangdong,7319,4808,3541
2024/9/6,Guangdong,6790,2971,3703
2024/9/7,Guangdong,4347,3962,6940
2024/9/8,Guangdong,4750,5814,3580
2024/9/9,Guangdong,6677,3249,6930
2024/9/10,Guangdong,7878,4721,3234
2024/9/11,Guangdong,4709,7966,5092
2024/9/12,Guangdong,3524,9795,7927
2024/9/13,Guangdong,7639,7747,5088
2024/9/14,Guangdong,4049,4730,8148
2024/9/15,Guangdong,7356,6991,1515
2024/9/16,Guangdong,6368,7120,2314
2024/9/17,Guangdong,6279,6701,5138
2024/9/18,Guangdong,7626,8321,7079
2024/9/19,Guangdong,6572,4484,3682
2024/9/20,Guangdong,7629,2829,5170
2024/9/21,Guangdong,5904,2452,6164
2024/9/22,Guangdong,3938,9220,4814
2024/9/23,Guangdong,4898,5629,4476
2024/9/24,Guangdong,3078,3016,5314
2024/9/25,Guangdong,7893,4290,7146
2024/9/26,Guangdong,7694,9986,7319
2024/9/27,Guangdong,2543,7106,8126
2024/9/28,Guangdong,7191,4345,8931
2024/9/29,Guangdong,6476,2857,3170
2024/9/30,Guangdong,6954,8396,6233
2024/9/31,Guangdong,6608,4106,3192
2024/10/1,Guangdong,7828,2150,1839
2024/10/2,Guangdong,5120,5565,8334
2024/10/3,Guangdong,4300,9843,2280
2024/10/4,Guangdong,2486,4496,7211
2024/10/5,Guangdong,1998,3470,7390
2024/10/6,Guangdong,1946,7669,7979
2024/10/7,Guangdong,5836,3458,7255
2024/10/8,Guangdong,5199,2770,4320
2024/10/9,Guangdong,1341,6091,6274
2024/10/10,Guangdong,1451,5821,5146
2024/10/11,Guangdong,3408,7891,8272
2024/10/12,Guangdong,3547,7474,1934
2024/10/13,Guangdong,3840,6976,5722
2024/10/14,Guangdong,4524,8866,7428
2024/10/15,Guangdong,7731,8943,2737
2024/10/16,Guangdong,6650,3661,6145
2024/10/17,Guangdong,1538,4970,4196
2024/10/18,Guangdong,6741,7523,5501
2024/10/19,Guangdong,6979,2089,8661
2024/10/20,Guangdong,4015,8176,2536
2024/10/21,Guangdong,1897,6914,6004
2024/10/22,Guangdong,4114,3307,8730
2024/10/23,Guangdong,3476,6360,3623
2024/10/24,Guangdong,7295,4468,6766
2024/10/25,Guangdong,7772,9093,7004
2024/10/26,Guangdong,6198,3231,2645
2024/10/27,Guangdong,1419,7919,7393
2024/10/28,Guangdong,3970,5665,5960
2024/11/1,Guangdong,1527,9171,3265
2024/11/2,Guangdong,7868,2032,6940
2024/11/3,Guangdong,2660,2605,7792
2024/11/4,Guangdong,2464,6609,2998
2024/11/5,Guangdong,3361,8471,2720
2024/11/6,Guangdong,4417,4065,3301
2024/11/7,Guangdong,2857,5510,5526
2024/11/8,Guangdong,7629,7691,4696
2024/11/9,Guangdong,5272,9152,2584
2024/11/10,Guangdong,5535,9180,7583
2024/11/11,Guangdong,6047,5120,5879
2024/11/12,Guangdong,3482,9488,5943
2024/11/13,Guangdong,1011,2338,5113
2024/11/14,Guangdong,6191,2597,5987
2024/11/15,Guangdong,4191,8016,3278
2024/11/16,Guangdong,4108,3550,6060
2024/11/17,Guangdong,7892,7094,5648
2024/11/18,Guangdong,6597,2292,6897
2024/11/19,Guangdong,7962,9961,4677
2024/11/20,Guangdong,7344,3223,5346
2024/11/21,Guangdong,3504,2627,1900
2024/11/22,Guangdong,4025,7400,6145
2024/11/23,Guangdong,5842,4125,1510
2024/11/24,Guangdong,3525,8385,7419
2024/11/25,Guangdong,3622,9164,5265
2024/11/26,Guangdong,5663,2057,3070
2024/11/27,Guangdong,7478,5757,7440
2024/11/28,Guangdong,5883,3486,2605
2024/11/29,Guangdong,3233,3645,8853
2024/11/30,Guangdong,2818,6248,4100
2024/11/31,Guangdong,1107,6337,7729
2024/12/1,Guangdong,7119,8771,7827
2024/12/2,Guangdong,1925,2570,1740
2024/12/3,Guangdong,1379,2324,7096
2024/12/4,Guangdong,3073,9846,7288
2024/12/5,Guangdong,1374,9933,6996
2024/12/6,Guangdong,2765,8913,5836
2024/12/7,Guangdong,2497,6114,8098
2024/12/8,Guangdong,6908,4206,5216
2024/12/9,Guangdong,5654,2059,2597
2024/12/10,Guangdong,3741,8268,5017
2024/12/11,Guangdong,1447,3860,8804
2024/12/12,Guangdong,1448,5681,6102
2024/12/13,Guangdong,7544,2067,2574
2024/12/14,Guangdong,5452,2346,4739
2024/12/15,Guangdong,2268,9147,7651
2024/12/16,Guangdong,6756,4946,7598
2024/12/17,Guangdong,2606,6702,2426
2024/12/18,Guangdong,5355,8953,3685
2024/12/19,Guangdong,2440,5401,5125
2024/12/20,Guangdong,4505,3779,3425
2024/12/21,Guangdong,7842,9424,5126
2024/12/22,Guangdong,4376,2531,7934
2024/12/23,Guangdong,7877,2943,8651
2024/12/24,Guangdong,3550,7403,7901
2024/12/25,Guangdong,3931,2756,3540
2024/12/26,Guangdong,6572,4738,1942
2024/12/27,Guangdong,5112,9704,3099
2024/12/28,Guangdong,7843,8456,3724
2024/12/29,Guangdong,4542,4479,6913
2024/12/30,Guangdong,7268,6357,8164
2025/1/1,Guangdong,1379,3439,3679
2025/1/2,Guangdong,1822,7147,3632
2025/1/3,Guangdong,3782,4597,4741
2025/1/4,Guangdong,5589,2947,4144
2025/1/5,Guangdong,6414,7364,4716
2025/1/6,Guangdong,7858,7369,5730
2025/1/7,Guangdong,4034,9330,3812
2025/1/8,Guangdong,4961,8057,3836
2025/1/9,Guangdong,5369,3054,5677
2025/1/10,Guangdong,5199,7998,4926
2025/1/11,Guangdong,5006,9431,3312
2025/1/12,Guangdong,5207,4755,8722
2025/1/13,Guangdong,1745,7000,6791
2025/1/14,Guangdong,3128,5581,4783
2025/1/15,Guangdong,2218,5218,6027
2025/1/16,Guangdong,3284,8884,4695
2025/1/17,Guangdong,2825,6585,4645
2025/1/18,Guangdong,5025,8389,7663
2025/1/19,Guangdong,1803,5656,7540
2025/1/20,Guangdong,6651,2444,2774
2025/1/21,Guangdong,2492,6717,8925
2025/1/22,Guangdong,4396,7847,4118
2025/1/23,Guangdong,4127,2446,3132
2025/1/24,Guangdong,6048,4001,1578
2025/1/25,Guangdong,7098,3912,6962
2025/1/26,Guangdong,1508,2309,6257
2025/1/27,Guangdong,7825,5201,8418
2025/1/28,Guangdong,7008,9188,6945
2025/1/29,Guangdong,4765,5158,7234
2025/1/30,Guangdong,6152,3857,6242
2025/1/31,Guangdong,4137,5217,7292
2025/2/1,Guangdong,2346,9209,7287
2025/2/2,Guangdong,4845,7792,6564
2025/2/3,Guangdong,7718,5830,3266
2025/2/4,Guangdong,5068,5514,8212
2025/2/5,Guangdong,7614,3592,4989
2025/2/6,Guangdong,4001,9273,3928
2025/2/7,Guangdong,6910,4561,4807
2025/2/8,Guangdong,6049,4187,6922
2025/2/9,Guangdong,7917,6992,6471
2025/2/10,Guangdong,2262,4036,3243
2025/2/11,Guangdong,3381,4764,6603
2025/2/12,Guangdong,6814,7627,8840
2025/2/13,Guangdong,6278,8900,8313
2025/2/14,Guangdong,2405,4470,4472
2025/2/15,Guangdong,5333,4185,2131
2025/2/16,Guangdong,1791,9392,7330
2025/2/17,Guangdong,3721,6587,7591
2025/2/18,Guangdong,7735,6015,5179
2025/2/19,Guangdong,4304,5536,4776
2025/2/20,Guangdong,6418,6562,7491
2025/2/21,Guangdong,5214,5920,7802
2025/2/22,Guangdong,1454,2115,4181
2025/2/23,Guangdong,3766,7479,2134
2025/2/24,Guangdong,7926,3042,5873
2025/2/25,Guangdong,5686,4569,6634
2025/2/26,Guangdong,7933,3373,8050
2025/2/27,Guangdong,4359,5974,7211
2025/2/28,Guangdong,5814,4598,8346
2025/2/29,Guangdong,3277,4279,4806
2024/9/1,Shenzhen,4623,3098,2917
2024/9/2,Shenzhen,6277,3734,4256
2024/9/3,Shenzhen,3855,6044,3640
2024/9/4,Shenzhen,1043,7420,4684
2024/9/5,Shenzhen,1415,5660,6263
2024/9/6,Shenzhen,2959,8244,6707
2024/9/7,Shenzhen,1966,2003,3240
2024/9/8,Shenzhen,1439,8118,5192
2024/9/9,Shenzhen,1907,6619,7406
2024/9/10,Shenzhen,2622,3619,4005
2024/9/11,Shenzhen,7669,2202,6566
2024/9/12,Shenzhen,5438,9779,6839
2024/9/13,Shenzhen,3975,5379,5885
2024/9/14,Shenzhen,7212,7785,1600
2024/9/15,Shenzhen,7691,2792,2655
2024/9/16,Shenzhen,6829,5621,8289
2024/9/17,Shenzhen,6460,9092,7260
2024/9/18,Shenzhen,4312,9190,3016
2024/9/19,Shenzhen,6560,2123,5137
2024/9/20,Shenzhen,4043,3437,3603
2024/9/21,Shenzhen,2987,6805,8193
2024/9/22,Shenzhen,6970,9181,4654
2024/9/23,Shenzhen,4850,5300,8364
2024/9/24,Shenzhen,3975,4248,2820
2024/9/25,Shenzhen,2522,6156,4924
2024/9/26,Shenzhen,1149,9001,5629
2024/9/27,Shenzhen,7408,7918,8466
2024/9/28,Shenzhen,4894,9651,8495
2024/9/29,Shenzhen,3984,2553,4787
2024/9/30,Shenzhen,4997,2460,1532
2024/9/31,Shenzhen,1094,6617,2359
2024/10/1,Shenzhen,1079,6174,7754
2024/10/2,Shenzhen,2351,6710,6886
2024/10/3,Shenzhen,4967,8829,6993
2024/10/4,Shenzhen,1894,4434,8704
2024/10/5,Shenzhen,3012,7272,6312
2024/10/6,Shenzhen,4986,7231,2939
2024/10/7,Shenzhen,3716,9672,7562
2024/10/8,Shenzhen,6454,2807,7561
2024/10/9,Shenzhen,3893,2698,3240
2024/10/10,Shenzhen,6836,8948,2639
2024/10/11,Shenzhen,4710,7040,5277
2024/10/12,Shenzhen,2946,4028,8303
2024/10/13,Shenzhen,5232,4125,6230
2024/10/14,Shenzhen,6548,5323,6165
2024/10/15,Shenzhen,3141,6703,3225
2024/10/16,Shenzhen,3723,6883,6134
2024/10/17,Shenzhen,1255,6888,6795
2024/10/18,Shenzhen,6940,7872,2347
2024/10/19,Shenzhen,3848,6213,5283
2024/10/20,Shenzhen,2838,5123,4664
2024/10/21,Shenzhen,2553,8775,8404
2024/10/22,Shenzhen,5814,3881,1753
2024/10/23,Shenzhen,2111,9291,6028
2024/10/24,Shenzhen,4243,8631,2155
2024/10/25,Shenzhen,1349,6537,8589
2024/10/26,Shenzhen,6523,9433,5895
2024/10/27,Shenzhen,2681,9675,5334
2024/10/28,Shenzhen,7523,8726,6090
2024/11/1,Shenzhen,7102,6171,4467
2024/11/2,Shenzhen,3487,3403,5361
2024/11/3,Shenzhen,6529,6364,2374
2024/11/4,Shenzhen,6354,7512,3484
2024/11/5,Shenzhen,1141,6497,7096
2024/11/6,Shenzhen,1296,5161,3526
2024/11/7,Shenzhen,3656,9869,6533
2024/11/8,Shenzhen,7291,2124,1583
2024/11/9,Shenzhen,2642,4260,4270
2024/11/10,Shenzhen,1612,9658,6015
2024/11/11,Shenzhen,1650,7087,8752
2024/11/12,Shenzhen,4777,5407,5207
2024/11/13,Shenzhen,3937,2563,6898
2024/11/14,Shenzhen,5544,4579,1936
2024/11/15,Shenzhen,4174,4845,7570
2024/11/16,Shenzhen,5024,2024,8589
2024/11/17,Shenzhen,1247,9664,3544
2024/11/18,Shenzhen,2464,2167,8139
2024/11/19,Shenzhen,2376,7003,6950
2024/11/20,Shenzhen,1714,5694,5979
2024/11/21,Shenzhen,3507,9102,8545
2024/11/22,Shenzhen,1571,4996,2230
2024/11/23,Shenzhen,3553,7815,5500
2024/11/24,Shenzhen,4573,8833,2167
2024/11/25,Shenzhen,3343,5530,2183
2024/11/26,Shenzhen,2044,4113,8023
2024/11/27,Shenzhen,1131,7814,3060
2024/11/28,Shenzhen,2002,2184,5709
2024/11/29,Shenzhen,3634,3255,2035
2024/11/30,Shenzhen,6862,4908,4443
2024/11/31,Shenzhen,4731,9190,7357
2024/12/1,Shenzhen,4567,5832,5931
2024/12/2,Shenzhen,5441,9779,6438
2024/12/3,Shenzhen,2485,3549,7485
2024/12/4,Shenzhen,6951,5699,2257
2024/12/5,Shenzhen,3553,5207,3850
2024/12/6,Shenzhen,6245,2718,5247
